Index,Tag,Header,Value Range,Description
39,L_Cue_event_I_l2,L_Cue_event_I_l2,0 (F) or 1 (T),"Laser event during Cue (laser2) ?    If yes, the laser LED will be triggered"
40,L_Cue_trig_I_l1,L_Cue_trig_I_l1,0 (F) or 1 (T),"If laser LED is triggered for Cue, will laser also be triggered (laser1) ?"
41,L_Cue_trig_I_l2,L_Cue_trig_I_l2,0 (F) or 1 (T),"If laser LED is triggered for Cue, will laser also be triggered (laser2) ?"
42,L_Sel_event_n_l1,L_Sel_event_n_l1,0 or 1,Laser events during Selection (laser1)
43,L_Sel_event_n_l2,L_Sel_event_n_l2,0 or 1,Laser events during Selection (laser2)
44,L_Sel_trig_n_l1,L_Sel_trig_n_l1,0 or 1,Laser triggers during Selection (laser1)
45,L_Sel_trig_n_l2,L_Sel_trig_n_l2,0 or 1,Laser triggers during Selection (laser2)
46,L_Sel_event_I_l1,L_Sel_event_I_l1,0 (F) or 1 (T),"Laser event during Selection State (laser1) ?    If yes, the laser LED will be triggered"
47,L_Sel_event_I_l2,L_Sel_event_I_l2,0 (F) or 1 (T),"Laser event during Selection State (laser2) ?    If yes, the laser LED will be triggered"
48,L_Sel_trig_I_l1,L_Sel_trig_I_l1,0 (F) or 1 (T),"If laser LED is triggered for Selection state, will laser also be triggered (laser1) ?"
49,L_Sel_trig_I_l2,L_Sel_trig_I_l2,0 (F) or 1 (T),"If laser LED is triggered for Selection state, will laser also be triggered (laser2) ?"
50,L_Rew_event_I_l1,L_Rew_event_I_l1,0 (F) or 1 (T),"Laser event during Reward state (laser1) ?    If yes, the laser LED will be triggered"
51,L_Rew_event_I_l2,L_Rew_event_I_l2,0 (F) or 1 (T),"Laser event during Reward state (laser2) ?    If yes, the laser LED will be triggered"
52,L_Rew_trig_I_l1,L_Rew_trig_I_l1,0 (F) or 1 (T),"If laser LED is triggered for Reward state, will laser also be triggered (laser1) ?"
53,L_Rew_trig_I_l2,L_Rew_trig_I_l2,0 (F) or 1 (T),"If laser LED is triggered for Reward state, will laser also be triggered (laser2) ?"
54,L_Wro_event_I_l1,L_Wro_event_I_l1,0 (F) or 1 (T),"Laser event during Wrong selection (laser1) ?    If yes, the laser LED will be triggered"
55,L_Wro_event_I_l2,L_Wro_event_I_l2,0 (F) or 1 (T),"Laser event during Wrong selection (laser2) ?    If yes, the laser LED will be triggered"
56,L_Wro_trig_I_l1,L_Wro_trig_I_l1,0 (F) or 1 (T),"If laser LED is triggered for Wrong selection, will laser also be triggered (laser1) ?"
57,L_Wro_trig_I_l2,L_Wro_trig_I_l2,0 (F) or 1 (T),"If laser LED is triggered for Wrong selection, will laser also be triggered (laser2) ?"
58,sCue2,sCue2,,
59,T_Cue2_Audio,T_Cue2_Audio,,
60,T_Cue2_LED,T_Cue2_LED,,
61,T_ENL2,T_ENL2,,
62,n_ENL2,n_ENL2,,
63,L_ENL2_event_n_l1,L_ENL2_event_n_l1,,
64,L_ENL2_event_n_l2,L_ENL2_event_n_l2,,
65,L_ENL2_trig_n_l1,L_ENL2_trig_n_l1,,
66,L_ENL2_trig_n_l2,L_ENL2_trig_n_l2,,
67,L_ENL2_event_I_l1,L_ENL2_event_I_l1,,
68,L_ENL2_event_I_l2,L_ENL2_event_I_l2,,
69,L_ENL2_trig_I_l1,L_ENL2_trig_I_l1,,
70,L_ENL2_trig_I_l2,L_ENL2_trig_I_l2,,
71,n_Cue2,n_Cue2,,
72,L_Cue2_event_n_l1,L_Cue2_event_n_l1,,
73,L_Cue2_event_n_l2,L_Cue2_event_n_l2,,
74,L_Cue2_trig_n_l1,L_Cue2_trig_n_l1,,
75,L_Cue2_trig_n_l2,L_Cue2_trig_n_l2,,
76,L_Cue2_event_I_l1,L_Cue2_event_I_l1,,
77,L_Cue2_event_I_l2,L_Cue2_event_I_l2,,
78,L_Cue2_trig_I_l1,L_Cue2_trig_I_l1,,
79,L_Cue2_trig_I_l2,L_Cue2_trig_I_l2,,
80,DAB_I_HighProbSel,DAB_I_HighProbSel,,
81,DAB_I_flipLR_event,DAB_I_flipLR_event,,
82,DAB_I_flipLR,DAB_I_flipLR,,
83,DAB_iSelect_L,DAB_iSelect_L,,
84,DAB_iSelect_R,DAB_iSelect_R,,
85,DAB_iSelect_HighProb,DAB_iSelect_HighProb,,
86,DAB_iSelect_LowProb,DAB_iSelect_LowProb,,
87,L_Rew_trig_n_l1,L_Rew_trig_n_l1,,
88,L_Rew_trig_n_l2,L_Rew_trig_n_l2,,
89,L_Wro_trig_n_l1,L_Wro_trig_n_l1,,
90,L_Wro_trig_n_l2,L_Wro_trig_n_l2,,
91,Cue2_I_1A_Sel,Cue2_I_1A_Sel,,
92,Cue2_iTrial_1A,Cue2_iTrial_1A,,
93,Cue2_iTrial_1B,Cue2_iTrial_1B,,
94,Cue2_I_High_Sel,Cue2_I_High_Sel,,
95,Cue2_iTrial_High,Cue2_iTrial_High,,
96,Cue2_iTrial_Low,Cue2_iTrial_Low,,
